Monitoring Date,Officer ID,Officer Name,Office Location,Site ID,Site Name,Site Location,Activity ID,Activity Type,Activity Description,Activity Duration (hours),Equipment Used,Pollution Level Detected,Compliance Status,Community Feedback Rating,Transaction ID,Incentive Received,Compliance Target Achieved
12-02-2022,15,Wendy Mitchell,Perth,21,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",623,Soil Quality Test,Description 80,3.61,Equipment 2,399.69,Non-Compliant,5,3335,Yes,Yes
03-08-2022,15,Alice Johnson,Adelaide,22,Toronto Foreshore,"Glenelg Beach, Adelaide, SA 5045",526,Noise Level Measurement,Description 95,4.46,Equipment 16,32.86,Compliant,1,1300,Yes,Yes
22-04-2022,1,Catherine Lee,Hobart,10,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",173,Water Quality Test,Description 188,1.91,Equipment 11,76.72,Compliant,1,2763,No,
23-12-2022,4,Samantha Wright,Darwin,22,Awaba State Forest,"Darwin Waterfront, Darwin, NT 0800",267,Air Quality Check,Description 138,5.72,Equipment 1,346.59,Non-Compliant,4,897,No,
31-01-2022,15,Diana Taylor,Canberra,7,Heaton State Forest,"Parliament House, Canberra, ACT 2600",966,Air Quality Check,Description 120,5.91,Equipment 8,114.26,Non-Compliant,4,4175,Yes,No
16-12-2022,13,Hannah Moore,Gold Coast,13,Lambton Park,"Surfers Paradise Beach, Gold Coast, QLD 4217",948,Water Quality Test,Description 140,2.97,Equipment 4,255.6,Non-Compliant,5,2267,Yes,Yes
18-03-2022,11,Natalie Walker,Newcastle,7,Richley Reserve,"Shortland Esplanade, Newcastle, NSW 2300",931,Noise Level Measurement,Description 25,1.83,Equipment 1,0.05,Compliant,3,4108,Yes,Yes
07-09-2022,18,Diana Taylor,Sydney,15,Braye Park,"Circular Quay, Sydney, NSW 2000",782,Air Quality Check,Description 147,6.58,Equipment 9,397.36,Non-Compliant,1,3692,No,
16-10-2022,5,Isabella Thompson,Melbourne,6,Waratah Park,"Federation Square, Melbourne, VIC 3000",387,Noise Level Measurement,Description 144,4.91,Equipment 1,79.35,Non-Compliant,5,4033,Yes,Yes
25-12-2022,15,Tina Scott,Brisbane,11,Waratah Park,"South Bank, Brisbane, QLD 4101",863,Air Quality Check,Description 24,5.86,Equipment 1,321.84,Compliant,4,960,Yes,No
05-10-2022,1,Diana Taylor,Perth,10,Lambton Park,"Carnley Avenue, Kotara, NSW 2289",916,Soil Quality Test,Description 93,3.01,Equipment 17,250.4,Non-Compliant,5,2626,Yes,No
28-10-2022,15,Alice Johnson,Adelaide,20,King Edward Park,"Glenelg Beach, Adelaide, SA 5045",821,Soil Quality Test,Description 102,4.44,Equipment 16,274.99,Compliant,5,2666,No,
25-01-2022,11,Kate Harris,Hobart,17,Newcastle Beach,"Salamanca Place, Hobart, TAS 7000",991,Water Quality Test,Description 117,2.92,Equipment 17,171.28,Non-Compliant,3,2574,No,
25-07-2022,1,Catherine Lee,Darwin,21,Merewether Beach,"Darwin Waterfront, Darwin, NT 0800",8,Soil Quality Test,Description 152,7.95,Equipment 14,118.19,Non-Compliant,4,291,Yes,No
11-03-2022,14,Fiona Wilson,Canberra,5,Nobbys Beach,"Lake Burley Griffin, Canberra, ACT 2600",570,Soil Quality Test,Description 154,6.99,Equipment 14,217.11,Non-Compliant,4,2013,No,
09-06-2022,11,Xena Perez,Gold Coast,8,Speers Point Park,"Broadbeach, Gold Coast, QLD 4218",644,Soil Quality Test,Description 70,3.91,Equipment 18,383.86,Non-Compliant,2,962,No,
13-12-2022,24,Natalie Walker,Newcastle,21,Warners Bay Foreshore,"John Parade, Merewether, NSW 2291",251,Air Quality Check,Description 10,7.88,Equipment 1,472.05,Compliant,3,89,Yes,No
12-05-2022,8,Catherine Lee,Sydney,19,Toronto Foreshore,"Circular Quay, Sydney, NSW 2000",860,Air Quality Check,Description 21,3.18,Equipment 1,340.32,Non-Compliant,1,2614,Yes,No
10-04-2022,21,Olivia Hall,Melbourne,18,Glenrock State Conservation Area,"Federation Square, Melbourne, VIC 3000",320,Air Quality Check,Description 74,4.35,Equipment 12,370.78,Compliant,2,1264,Yes,Yes
19-01-2022,19,Laura Clark,Brisbane,24,Hunter Wetlands Centre,"Queen Street Mall, Brisbane, QLD 4000",70,Soil Quality Test,Description 26,2.26,Equipment 7,41.89,Compliant,4,2320,No,
29-05-2022,10,Tina Scott,Perth,24,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",911,Air Quality Check,Description 198,5.55,Equipment 6,34.63,Compliant,3,2431,Yes,Yes
03-09-2022,9,Megan Lewis,Adelaide,11,Belmont Wetlands State Park,"Glenelg Beach, Adelaide, SA 5045",445,Water Quality Test,Description 53,3.65,Equipment 2,451.97,Non-Compliant,3,4648,Yes,No
07-12-2022,3,Zoe Ward,Hobart,21,Jesmond Park,"Mount Wellington, Hobart, TAS 7054",587,Soil Quality Test,Description 63,3.95,Equipment 17,320.82,Compliant,4,100,No,
05-04-2022,8,Kate Harris,Darwin,18,Heaton State Forest,"Darwin Waterfront, Darwin, NT 0800",721,Air Quality Check,Description 116,1.62,Equipment 6,8.58,Compliant,1,980,No,
14-02-2022,22,Xena Perez,Canberra,24,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",517,Air Quality Check,Description 199,7.56,Equipment 13,88.33,Compliant,3,2465,No,
27-07-2022,17,Laura Clark,Gold Coast,24,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",81,Air Quality Check,Description 108,3.57,Equipment 19,236.21,Compliant,2,1298,No,
03-12-2022,15,Ella Brown,Newcastle,14,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",601,Air Quality Check,Description 19,2.21,Equipment 11,463.75,Non-Compliant,2,4052,No,
12-03-2022,15,Ella Brown,Sydney,17,Awaba State Forest,"Reserve Road, Newcastle, NSW 2300",407,Air Quality Check,Description 42,6.63,Equipment 8,439.72,Compliant,4,2953,Yes,Yes
30-04-2022,24,Vicky Turner,Melbourne,19,Heaton State Forest,"Federation Square, Melbourne, VIC 3000",48,Air Quality Check,Description 99,2.68,Equipment 8,196.87,Compliant,4,1296,No,
15-04-2022,20,Vicky Turner,Brisbane,24,Glenrock State Conservation Area,"South Bank, Brisbane, QLD 4101",138,Noise Level Measurement,Description 78,1.24,Equipment 9,281.5,Non-Compliant,2,3744,No,
12-03-2022,12,Wendy Mitchell,Perth,7,Richley Reserve,"Cottesloe Beach, Perth, WA 6011",503,Noise Level Measurement,Description 91,4.86,Equipment 9,304.44,Compliant,3,3270,Yes,Yes
04-01-2022,14,Paula Young,Adelaide,22,Braye Park,"Rundle Mall, Adelaide, SA 5000",50,Soil Quality Test,Description 112,2.7,Equipment 2,105.33,Non-Compliant,2,3664,Yes,No
13-08-2022,24,Wendy Mitchell,Hobart,4,Waratah Park,"Mount Wellington, Hobart, TAS 7054",687,Soil Quality Test,Description 8,6.04,Equipment 9,443.32,Compliant,1,2143,Yes,No
15-07-2022,22,Ella Brown,Darwin,21,King Edward Park,"Darwin Waterfront, Darwin, NT 0800",218,Air Quality Check,Description 58,4.54,Equipment 16,246.33,Non-Compliant,2,268,No,
20-10-2022,9,Alice Johnson,Canberra,9,Blackbutt Nature Reserve,"Parliament House, Canberra, ACT 2600",402,Air Quality Check,Description 83,2.08,Equipment 5,395.56,Non-Compliant,5,4981,No,
27-03-2022,24,Uma Allen,Gold Coast,18,King Edward Park,"Surfers Paradise Beach, Gold Coast, QLD 4217",905,Water Quality Test,Description 70,7.63,Equipment 9,341.9,Compliant,3,3906,Yes,Yes
16-10-2022,9,Beth Smith,Newcastle,7,Newcastle Beach,"Wharf Road, Newcastle East, NSW 2300",281,Air Quality Check,Description 34,6.8,Equipment 19,157.19,Compliant,2,3192,Yes,Yes
01-01-2022,25,Laura Clark,Sydney,13,Merewether Beach,"Circular Quay, Sydney, NSW 2000",147,Water Quality Test,Description 42,5.26,Equipment 9,431.16,Compliant,2,3017,No,
06-03-2022,22,Xena Perez,Melbourne,2,Nobbys Beach,"Federation Square, Melbourne, VIC 3000",199,Air Quality Check,Description 157,4.75,Equipment 7,104.04,Compliant,4,2554,Yes,No
22-02-2022,15,Olivia Hall,Brisbane,5,Speers Point Park,"South Bank, Brisbane, QLD 4101",882,Air Quality Check,Description 70,3.59,Equipment 7,0.91,Non-Compliant,5,2198,Yes,Yes
21-05-2022,7,Vicky Turner,Perth,21,Warners Bay Foreshore,"Kings Park, Perth, WA 6005",261,Water Quality Test,Description 69,6.24,Equipment 10,103.22,Non-Compliant,1,4064,Yes,No
13-08-2022,16,Diana Taylor,Adelaide,14,Richley Reserve,"Glenelg Beach, Adelaide, SA 5045",24,Soil Quality Test,Description 106,2.54,Equipment 19,168.57,Compliant,2,3430,No,
10-08-2022,14,Vicky Turner,Hobart,2,Warners Bay Foreshore,"Mount Wellington, Hobart, TAS 7054",262,Air Quality Check,Description 3,4.82,Equipment 15,183.64,Compliant,3,3097,No,
01-07-2022,1,Jane White,Darwin,6,Hunter Wetlands Centre,"Mindil Beach, Darwin, NT 0820",980,Soil Quality Test,Description 107,5.62,Equipment 8,369.32,Non-Compliant,5,1634,Yes,No
25-03-2022,7,Laura Clark,Canberra,20,Croudace Bay Park,"Parliament House, Canberra, ACT 2600",241,Water Quality Test,Description 31,5.08,Equipment 16,210.94,Compliant,3,859,No,
04-02-2022,15,Ella Brown,Gold Coast,6,Belmont Wetlands State Park,"Surfers Paradise Beach, Gold Coast, QLD 4217",331,Water Quality Test,Description 83,2.12,Equipment 8,246.76,Non-Compliant,2,4835,Yes,No
29-08-2022,19,Paula Young,Newcastle,22,Jesmond Park,"Wharf Road, Newcastle East, NSW 2300",993,Soil Quality Test,Description 21,2.31,Equipment 3,43.41,Non-Compliant,4,188,No,
16-04-2022,12,Diana Taylor,Sydney,3,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",13,Air Quality Check,Description 148,4.37,Equipment 16,135.61,Compliant,3,4881,Yes,Yes
03-12-2022,10,Jane White,Melbourne,1,Hunter Wetlands Centre,"St Kilda Road, Melbourne, VIC 3004",53,Air Quality Check,Description 40,4.98,Equipment 7,62.59,Non-Compliant,5,4121,Yes,No
24-02-2022,24,Diana Taylor,Brisbane,7,Toronto Foreshore,"Queen Street Mall, Brisbane, QLD 4000",224,Air Quality Check,Description 69,4.49,Equipment 6,106.11,Compliant,5,4766,No,
23-05-2022,12,Rachel King,Perth,23,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",24,Water Quality Test,Description 13,2.17,Equipment 16,93.5,Non-Compliant,5,2535,No,
11-02-2022,8,Beth Smith,Adelaide,4,Awaba State Forest,"Rundle Mall, Adelaide, SA 5000",505,Noise Level Measurement,Description 178,3.34,Equipment 16,454.8,Compliant,5,3630,Yes,Yes
23-06-2022,6,Grace Jones,Hobart,22,Heaton State Forest,"Salamanca Place, Hobart, TAS 7000",952,Noise Level Measurement,Description 74,5.16,Equipment 8,335.72,Non-Compliant,5,1538,No,
19-10-2022,19,Uma Allen,Darwin,3,Watagan Mountains,"Darwin Waterfront, Darwin, NT 0800",793,Soil Quality Test,Description 28,5.76,Equipment 3,115.55,Compliant,3,4251,No,
03-05-2022,4,Fiona Wilson,Canberra,8,Richley Reserve,"Parliament House, Canberra, ACT 2600",518,Water Quality Test,Description 198,1.98,Equipment 20,143.69,Non-Compliant,2,2831,No,
03-05-2022,18,Olivia Hall,Gold Coast,12,Braye Park,"Surfers Paradise Beach, Gold Coast, QLD 4217",766,Air Quality Check,Description 119,3.98,Equipment 10,335.42,Non-Compliant,5,902,Yes,Yes
16-11-2022,19,Alice Johnson,Newcastle,12,Waratah Park,"Wharf Road, Newcastle East, NSW 2300",248,Noise Level Measurement,Description 58,2.1,Equipment 9,132.65,Compliant,1,3664,No,
18-07-2022,9,Fiona Wilson,Sydney,20,King Edward Park,"Darling Harbour, Sydney, NSW 2000",143,Water Quality Test,Description 194,6.72,Equipment 7,227.97,Compliant,5,4351,No,
11-09-2022,13,Isabella Thompson,Melbourne,20,Blackbutt Nature Reserve,"St Kilda Road, Melbourne, VIC 3004",271,Air Quality Check,Description 2,3.54,Equipment 15,78.55,Compliant,3,2981,Yes,Yes
22-11-2022,25,Grace Jones,Brisbane,17,King Edward Park,"South Bank, Brisbane, QLD 4101",875,Noise Level Measurement,Description 151,2.37,Equipment 18,278.59,Compliant,3,3170,No,
05-01-2022,12,Hannah Moore,Perth,17,Awaba State Forest,"Cottesloe Beach, Perth, WA 6011",264,Soil Quality Test,Description 12,4.87,Equipment 11,280.96,Compliant,1,4413,No,
13-12-2022,14,Xena Perez,Adelaide,14,Merewether Beach,"Rundle Mall, Adelaide, SA 5000",814,Soil Quality Test,Description 187,1.72,Equipment 16,494.76,Compliant,1,4151,Yes,Yes
21-08-2022,10,Megan Lewis,Hobart,15,Nobbys Beach,"Salamanca Place, Hobart, TAS 7000",44,Air Quality Check,Description 62,7.63,Equipment 13,239.96,Compliant,4,1773,Yes,No
26-09-2022,15,Hannah Moore,Darwin,10,Speers Point Park,"Mindil Beach, Darwin, NT 0820",780,Noise Level Measurement,Description 45,3.31,Equipment 18,1.14,Non-Compliant,4,1602,No,
06-01-2022,21,Catherine Lee,Canberra,16,Warners Bay Foreshore,"Parliament House, Canberra, ACT 2600",957,Noise Level Measurement,Description 156,3.34,Equipment 1,192.53,Compliant,3,2036,No,
24-05-2022,1,Kate Harris,Gold Coast,16,Redhead Beach,"Broadbeach, Gold Coast, QLD 4218",237,Water Quality Test,Description 182,3.38,Equipment 1,133.02,Non-Compliant,4,4714,Yes,Yes
01-09-2022,2,Jane White,Newcastle,1,Glenrock State Conservation Area,"John Parade, Merewether, NSW 2291",752,Noise Level Measurement,Description 52,2.03,Equipment 19,109,Non-Compliant,5,3854,No,
21-07-2022,23,Uma Allen,Sydney,16,Hunter Wetlands Centre,"Circular Quay, Sydney, NSW 2000",126,Water Quality Test,Description 172,3.58,Equipment 7,450.64,Compliant,3,3145,Yes,No
07-02-2022,18,Fiona Wilson,Melbourne,22,Croudace Bay Park,"St Kilda Road, Melbourne, VIC 3004",360,Noise Level Measurement,Description 132,3.33,Equipment 19,339.54,Compliant,2,4189,No,
02-10-2022,6,Fiona Wilson,Brisbane,17,Jesmond Park,"Queen Street Mall, Brisbane, QLD 4000",200,Noise Level Measurement,Description 166,7.11,Equipment 7,493.21,Compliant,5,2333,Yes,Yes
04-10-2022,21,Isabella Thompson,Perth,14,Redhead Beach,"Kings Park, Perth, WA 6005",770,Soil Quality Test,Description 102,2.53,Equipment 14,88.16,Non-Compliant,5,3561,No,
18-02-2022,21,Jane White,Adelaide,6,Charlestown Park,"Glenelg Beach, Adelaide, SA 5045",723,Noise Level Measurement,Description 22,5.65,Equipment 16,58.86,Non-Compliant,3,3872,No,
16-12-2022,4,Grace Jones,Hobart,3,Charlestown Park,"Salamanca Place, Hobart, TAS 7000",172,Water Quality Test,Description 50,1.69,Equipment 6,144.31,Non-Compliant,2,101,No,
20-03-2022,22,Olivia Hall,Darwin,8,Toronto Foreshore,"Darwin Waterfront, Darwin, NT 0800",972,Noise Level Measurement,Description 145,3.85,Equipment 4,160.85,Compliant,4,2616,Yes,Yes
12-06-2022,4,Fiona Wilson,Canberra,6,Watagan Mountains,"Parliament House, Canberra, ACT 2600",271,Air Quality Check,Description 14,1.62,Equipment 2,484.52,Compliant,1,3915,Yes,No
04-01-2022,2,Paula Young,Gold Coast,4,Awaba State Forest,"Surfers Paradise Beach, Gold Coast, QLD 4217",826,Noise Level Measurement,Description 12,7.17,Equipment 20,345.09,Compliant,1,1842,No,
02-10-2022,1,Ella Brown,Newcastle,19,Heaton State Forest,"Shortland Esplanade, Newcastle, NSW 2300",219,Noise Level Measurement,Description 134,1.16,Equipment 4,374.15,Compliant,1,3206,Yes,Yes
28-07-2022,9,Wendy Mitchell,Sydney,15,Lambton Park,"Reserve Road, Newcastle, NSW 2300",399,Noise Level Measurement,Description 198,1.77,Equipment 11,184.27,Compliant,1,2810,Yes,Yes
16-01-2022,12,Fiona Wilson,Melbourne,2,Richley Reserve,"St Kilda Road, Melbourne, VIC 3004",595,Air Quality Check,Description 41,7.12,Equipment 10,360.7,Compliant,4,595,Yes,No
24-09-2022,18,Laura Clark,Brisbane,3,Braye Park,"South Bank, Brisbane, QLD 4101",211,Noise Level Measurement,Description 190,3.45,Equipment 15,236.62,Non-Compliant,3,2312,Yes,Yes
01-07-2022,13,Rachel King,Perth,7,Waratah Park,"Turton Road, Waratah, NSW 2298",628,Noise Level Measurement,Description 98,1.39,Equipment 11,18.24,Non-Compliant,5,727,Yes,Yes
12-10-2022,15,Olivia Hall,Adelaide,24,King Edward Park,"Rundle Mall, Adelaide, SA 5000",910,Soil Quality Test,Description 154,3.05,Equipment 16,54.77,Non-Compliant,3,3927,No,
15-06-2022,21,Natalie Walker,Hobart,23,Blackbutt Nature Reserve,"Salamanca Place, Hobart, TAS 7000",293,Water Quality Test,Description 3,3.22,Equipment 14,456.54,Compliant,5,3466,Yes,Yes
02-01-2022,20,Samantha Wright,Darwin,15,Toronto Foreshore,"Mindil Beach, Darwin, NT 0820",764,Air Quality Check,Description 141,5.11,Equipment 8,352.3,Compliant,1,3009,No,
22-10-2022,10,Kate Harris,Canberra,8,Newcastle Beach,"Lake Burley Griffin, Canberra, ACT 2600",418,Air Quality Check,Description 195,6.69,Equipment 13,213.72,Non-Compliant,4,1973,Yes,No
30-04-2022,8,Catherine Lee,Gold Coast,20,Merewether Beach,"John Parade, Merewether, NSW 2291",773,Air Quality Check,Description 178,1.88,Equipment 16,274.49,Compliant,1,2166,Yes,No
14-08-2022,2,Isabella Thompson,Newcastle,6,Nobbys Beach,"Shortland Esplanade, Newcastle, NSW 2300",314,Soil Quality Test,Description 188,4.67,Equipment 14,242.95,Compliant,1,2558,Yes,No
11-08-2022,3,Wendy Mitchell,Sydney,20,Watagan Mountains,"Circular Quay, Sydney, NSW 2000",730,Air Quality Check,Description 186,3.9,Equipment 20,107.81,Compliant,2,1581,Yes,No
24-05-2022,5,Tina Scott,Melbourne,16,Warners Bay Foreshore,"St Kilda Road, Melbourne, VIC 3004",807,Air Quality Check,Description 31,5.37,Equipment 15,141.09,Compliant,4,2519,No,
18-10-2022,24,Paula Young,Brisbane,12,Redhead Beach,"South Bank, Brisbane, QLD 4101",222,Air Quality Check,Description 60,7.69,Equipment 13,343.43,Non-Compliant,3,3086,No,
24-01-2022,5,Vicky Turner,Perth,6,Glenrock State Conservation Area,"Cottesloe Beach, Perth, WA 6011",580,Water Quality Test,Description 1,1.99,Equipment 20,482.99,Compliant,4,4671,No,
19-12-2022,7,Catherine Lee,Adelaide,16,Hunter Wetlands Centre,"Rundle Mall, Adelaide, SA 5000",155,Noise Level Measurement,Description 16,5.53,Equipment 10,150.2,Compliant,2,1127,No,
10-05-2022,18,Isabella Thompson,Hobart,20,Croudace Bay Park,"Salamanca Place, Hobart, TAS 7000",557,Soil Quality Test,Description 139,4.58,Equipment 1,140.51,Compliant,4,3165,No,
10-03-2022,4,Catherine Lee,Darwin,9,Belmont Wetlands State Park,"Mindil Beach, Darwin, NT 0820",271,Soil Quality Test,Description 110,6.4,Equipment 8,304.55,Non-Compliant,4,3527,No,
06-09-2022,8,Natalie Walker,Canberra,12,Jesmond Park,"Lake Burley Griffin, Canberra, ACT 2600",582,Soil Quality Test,Description 61,2.74,Equipment 4,154.28,Non-Compliant,1,4983,Yes,No
28-06-2022,3,Grace Jones,Gold Coast,20,Mount Sugarloaf,"Surfers Paradise Beach, Gold Coast, QLD 4217",504,Soil Quality Test,Description 39,3.01,Equipment 12,182.49,Non-Compliant,4,872,No,
25-07-2022,24,Zoe Ward,Newcastle,14,Charlestown Park,"John Parade, Merewether, NSW 2291",419,Soil Quality Test,Description 65,4.9,Equipment 9,258.81,Non-Compliant,4,1906,No,
06-08-2022,2,Tina Scott,Sydney,17,Toronto Foreshore,"Reserve Road, Newcastle, NSW 2300",292,Soil Quality Test,Description 143,7.62,Equipment 1,148.99,Compliant,5,785,No,
23-02-2022,23,Samantha Wright,Melbourne,7,Redhead Beach,"St Kilda Road, Melbourne, VIC 3004",230,Air Quality Check,Description 194,4.1,Equipment 17,470.67,Compliant,1,1054,No,
16-10-2022,8,Catherine Lee,Brisbane,15,Awaba State Forest,"South Bank, Brisbane, QLD 4101",356,Soil Quality Test,Description 92,5,Equipment 11,197.65,Compliant,3,2851,Yes,No
13-09-2022,8,Catherine Lee,Perth,7,Heaton State Forest,"Cottesloe Beach, Perth, WA 6011",578,Air Quality Check,Description 87,1.43,Equipment 5,211.67,Compliant,4,4903,No,
29-10-2022,13,Laura Clark,Adelaide,8,Lambton Park,"Morehead Street, Lambton, NSW 2299",945,Soil Quality Test,Description 63,7.17,Equipment 15,40.91,Non-Compliant,1,4117,Yes,Yes
01-01-2022,16,Zoe Ward,Hobart,2,Belmont Wetlands State Park,"Salamanca Place, Hobart, TAS 7000",727,Soil Quality Test,Description 127,1.07,Equipment 14,372.86,Non-Compliant,2,1874,Yes,No
18-04-2022,13,Paula Young,Darwin,1,Braye Park,"Mindil Beach, Darwin, NT 0820",486,Water Quality Test,Description 14,1.26,Equipment 7,210.05,Compliant,5,494,Yes,No
25-07-2022,16,Ella Brown,Canberra,18,Waratah Park,"Parliament House, Canberra, ACT 2600",844,Soil Quality Test,Description 16,2.32,Equipment 11,353.02,Compliant,1,2479,Yes,Yes
10-11-2022,17,Paula Young,Gold Coast,12,King Edward Park,"Broadbeach, Gold Coast, QLD 4218",183,Soil Quality Test,Description 95,5.48,Equipment 6,497.21,Non-Compliant,5,1121,No,
01-08-2022,23,Laura Clark,Newcastle,4,Blackbutt Nature Reserve,"Shortland Esplanade, Newcastle, NSW 2300",924,Air Quality Check,Description 92,6.19,Equipment 11,303.39,Compliant,2,1037,No,
27-10-2022,16,Yvonne Cook,Sydney,9,King Edward Park,"Reserve Road, Newcastle, NSW 2300",770,Noise Level Measurement,Description 109,2.27,Equipment 6,216.74,Compliant,1,2645,No,
23-07-2022,23,Kate Harris,Melbourne,15,Newcastle Beach,"Federation Square, Melbourne, VIC 3000",727,Soil Quality Test,Description 110,3.93,Equipment 15,495.52,Non-Compliant,2,32,No,
25-05-2022,24,Zoe Ward,Brisbane,24,Lambton Park,"South Bank, Brisbane, QLD 4101",476,Water Quality Test,Description 145,7.87,Equipment 11,146.84,Compliant,5,4270,No,
14-12-2022,2,Yvonne Cook,Perth,7,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",733,Soil Quality Test,Description 107,6.11,Equipment 8,359.51,Non-Compliant,3,1749,Yes,No
21-03-2022,11,Grace Jones,Adelaide,15,Speers Point Park,"Rundle Mall, Adelaide, SA 5000",875,Soil Quality Test,Description 74,5.46,Equipment 20,130.63,Compliant,5,1405,Yes,No
25-10-2022,15,Laura Clark,Hobart,14,Warners Bay Foreshore,"Mount Wellington, Hobart, TAS 7054",534,Water Quality Test,Description 61,4.13,Equipment 13,202.27,Compliant,4,1498,Yes,Yes
